Date : 2025-08-24 20:52:33
Directory : f:\Project\RBlog\RBlog_F
Total : 78 files,  8907 codes, 233 comments, 663 blanks, all 9803 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |      4,472 |          0 |          7 |      4,479 |
| PostCSS            |         22 |      2,461 |        142 |        369 |      2,972 |
| vue                |         23 |      1,047 |         23 |        139 |      1,209 |
| TypeScript         |         25 |        883 |         68 |        132 |      1,083 |
| Markdown           |          1 |         20 |          0 |         14 |         34 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |         11 |          0 |          1 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         78 |      8,907 |        233 |        663 |      9,803 |
| . (Files)                                                                                      |         12 |      4,577 |         15 |         32 |      4,624 |
| src                                                                                            |         66 |      4,330 |        218 |        631 |      5,179 |
| src (Files)                                                                                    |          2 |         38 |          0 |         10 |         48 |
| src\components                                                                                 |         14 |        776 |         16 |         95 |        887 |
| src\components\ArchivingCard                                                                   |          1 |         42 |          2 |          6 |         50 |
| src\components\ArchivingPositionCard                                                           |          1 |        105 |          2 |         16 |        123 |
| src\components\ArticleCard                                                                     |          1 |         40 |          0 |          4 |         44 |
| src\components\CatalogueCard                                                                   |          1 |        136 |          0 |         17 |        153 |
| src\components\CategoryCard                                                                    |          1 |         25 |          2 |          4 |         31 |
| src\components\FeelingCard                                                                     |          1 |        123 |          7 |          9 |        139 |
| src\components\Footer                                                                          |          1 |         34 |          0 |          3 |         37 |
| src\components\GoTop                                                                           |          1 |         18 |          0 |          4 |         22 |
| src\components\HomeScrollPage                                                                  |          1 |         28 |          1 |          3 |         32 |
| src\components\InfoCard                                                                        |          1 |         24 |          0 |          3 |         27 |
| src\components\LoadMore                                                                        |          1 |         28 |          0 |          4 |         32 |
| src\components\ReadScrollPage                                                                  |          1 |         97 |          0 |         15 |        112 |
| src\components\SideCard                                                                        |          1 |         32 |          0 |          3 |         35 |
| src\components\TopNavigateBar                                                                  |          1 |         44 |          2 |          4 |         50 |
| src\hooks                                                                                      |         18 |        717 |         48 |        107 |        872 |
| src\hooks\useArchivingPage                                                                     |          1 |         55 |          8 |          4 |         67 |
| src\hooks\useArticleCard                                                                       |          1 |         30 |          0 |          4 |         34 |
| src\hooks\useArticlePage                                                                       |          3 |         69 |          0 |         14 |         83 |
| src\hooks\useArticlePage (Files)                                                               |          1 |         15 |          0 |          4 |         19 |
| src\hooks\useArticlePage\useCategoryAll                                                        |          1 |         16 |          0 |          4 |         20 |
| src\hooks\useArticlePage\useCategorySignal                                                     |          1 |         38 |          0 |          6 |         44 |
| src\hooks\useCategoryCard                                                                      |          1 |          9 |          0 |          2 |         11 |
| src\hooks\useFeelingCard                                                                       |          1 |        152 |         19 |         21 |        192 |
| src\hooks\useFeelingPage                                                                       |          2 |         53 |          0 |         10 |         63 |
| src\hooks\useFeelingPage (Files)                                                               |          1 |         15 |          0 |          4 |         19 |
| src\hooks\useFeelingPage\useFeelingScrollPage                                                  |          1 |         38 |          0 |          6 |         44 |
| src\hooks\useFooter                                                                            |          1 |         87 |          3 |          1 |         91 |
| src\hooks\useGoTop                                                                             |          1 |         24 |          0 |          4 |         28 |
| src\hooks\useHomePage                                                                          |          1 |         23 |          1 |          4 |         28 |
